time,active_time,concentration,end_criterion,evaluations,f_density
0,0,0,0,0,0
1,1.543402,20100.90692,0.007970544,4,318.8217717
2.05,1.543402,20100.90822,-7.73E-06,9,318.4969588
3.1525,1.543402,20100.90822,-1.14E-05,14,317.9923609
4.310125,1.543402,20100.90864,-1.83E-05,19,317.14496
5,1.543402,20100.91279,-2.58E-05,24,316.4340385
6.157625,1.543402,20100.90442,-4.27E-05,30,314.454533
7.31525,1.543402,20100.90711,-7.65E-05,36,310.9124563
8.472875,1.543402,20100.90337,-0.000133893,42,304.7125252
9.6305,1.543402,20100.90185,-0.000217362,48,294.6476008
10,1.543402,20100.90139,-0.000262924,53,290.7615867
11.157625,1.543402,20100.897,-0.000334209,59,275.2860611
12.31525,1.543402,20100.8969,-0.000379833,65,257.697879
13.472875,1.543402,20100.89726,-0.000350912,71,241.4489019
14.6305,1.543402,20100.89726,-0.000266952,77,229.0876706
15.788125,1.543402,20100.89766,-0.000176306,83,220.9238057
16.94575,1.543402,20100.89327,-0.000109432,89,215.8565436
18.103375,1.543402,20100.8996,-6.98E-05,95,212.622204
19.261,1.543402,20100.88023,-4.94E-05,101,210.3348432
20,1.543402,20100.88207,-4.12E-05,106,209.1159931
21.157625,1.543402,20100.85601,-3.63E-05,112,207.4359718
22.31525,1.543402,20100.85442,-3.38E-05,118,205.869691
23.472875,1.543402,20100.82631,-3.28E-05,123,204.3514653
24.68838125,1.543402,20100.81943,-3.24E-05,128,202.7747693
25.96466281,1.543402,20100.79428,-3.24E-05,133,201.120956
27.30475845,1.543402,20100.7889,-3.25E-05,138,199.3769496
28.71185888,1.543402,20100.76104,-3.28E-05,143,197.5330319
30.18931432,1.543402,20100.75195,-3.31E-05,149,195.5796561
31.66676976,1.543402,20100.72632,-3.34E-05,155,193.6072683
33.14422521,1.543402,20100.71876,-3.37E-05,161,191.6156196
34.62168065,1.543402,20100.69331,-3.40E-05,167,189.606353
36.09913609,1.543402,20100.67982,-3.42E-05,173,187.5822643
37.57659154,1.543402,20100.65306,-3.44E-05,179,185.5481544
39.05404698,1.543402,20100.63542,-3.45E-05,185,183.5088164
